"EnglishName","Website","Lat","Long","Road","Suburb","State_Postcode"
"Evangelical Formosan Church of Melbourne","http://www.efcmel.org/","-37.8520906","145.1183795","5 Havelock St.","Burwood","VIC 3125"
"Bread of Life Christian Church in Melbourne","http://www.breadoflife.org.au/","-37.8017672","145.1450957","7/25 Chapman St","Blackburn North","VIC 3130"
"Australia for Christ Fellowship","http://mandarin.acfchurch.com/big5/contact_us.html","-37.9156344","145.2339049","1070 Stud Road","Rowville","VIC 3178"
"Rhema Chinese Christian Church of Melbourne","http://www.rhemachurch.com.au/","-37.7947867","145.0824621","172 Doncaster Rd","Balwyn North","VIC 3104"
"Uniting Church of Australia, South Camberwell","https://www.melbournezionchurch.com/","-37.8463511","145.0571361","910 Toorak Road","Camberwell","VIC 3124"
"Melbourne Chinese Presbyterian Church","https://www.malvernpc.org/","-37.8625949","145.0312982","163 Wattletree Rd","Malvern","VIC 3144"
"Northcote Baptist Church","http://www.northcotebaptist.org.au/","-37.7636521","145.0001485","542 High St","Northcote","VIC 3070"
"Syndal Baptist Church Chinese Congregation","http://www.sb.org.au/","-37.8726083","145.1493536","588 High Street Road","Glen Waverley","VIC 3150"
"Chinese Christian Teo-chew Church",NA,"-37.9644734","145.1779666","18 Kelvinside Road","Noble Park","VIC 3174"
"Evangelical Community Church, Geelong","http://www.eccgeelong.webs.com/aboutUs.html","-38.1888792","144.3535903","20 Barwarre Road","Marshall","VIC 3216"
"Central Chinese Baptist Church","http://www.ccbc.org.au","-37.8048134","144.9550547","135 Capel Street","North Melbourne","VIC 3051"
"Chinese Uniting Church, Melbourne",NA,"-37.8463511","145.0571361","910 Toorak Road","Camberwell","VIC 3124"
"City Light Methodist Church","http://citylightmethodistchurch.blogspot.com.au/","-37.8225172","144.9512490","717 Flinders Street","Docklands","VIC 3008"
"Overseas Chinese Christian Church Mel.Eastern Ministry Inc.","http://overseaschinesechristianchurch.com.au/","-37.8385790","145.1362901","220 Middleborough Road","Blackburn","VIC 3128"
"Eastern Chinese Baptist Church",NA,"-37.8529468","145.1773196","60 Mullens Rd","Vermont South","VIC 3133"
"Grace Church","https://www.gracechurch.cc/","-37.8527708","145.2159092","21 Koomba Road","Wantirna","VIC 3152"
"Christian Chinese Reformed Church of Dandenong","http://www.ccrchurch.com.au","-37.9634481","145.1592044","960 Heatherton Road","Springvale South","VIC 3171"
"The Salvation Army Chinese Corps.","http://www.salvationarmy.org.au/chinese/boxhill","-37.8289952","145.1128650","310 Elgar Road","Box Hill","VIC 3128"
"Bible College of Victoria Chinese Department",NA,"-37.8527177","145.1197709","42 Station Street","Burwood","VIC 3125"
"Wesleyan Methodist Church",NA,"-37.8763363","145.2288959","125 Jenola Parade","Wantirna South","VIC 3152"
"Chinese Presbyterian Church",NA,"-37.8511012","145.1302117","13 Tennyson Street","Burwood","VIC 3125"
"New Life Evangelical Church","http://nlec.org.au/","-37.8346280","145.1520466","19-23 Holland Road","Blackburn South","VIC 3130"
"Anglican St. Marthas Church",NA,"-37.8096508","144.9974720","2A William Street","Abbotsford","VIC 3067"
"Church of Gorly，Melbourne Glorious Church、MCGCC","http://mcgcchurch.org/","-37.8055427","145.0678150","23 Ropley Ave.","Balwyn","VIC 3103"
"Chinese Alliance Church of Victoria","http://beta.cacv.org.au/","-37.8426538","145.1086607","17 Livingstone Close","Burwood","VIC 3125"
"Chinese Christian Church of Victoria",NA,"-37.8126847","145.1775964","67-71 Springvale Road","Nunawading","VIC 3131"
"Chinese Methodist Church of Melbourne","http://www.cmca-camberwell.org.au/","-37.8392080","145.0755690","58 Cooloongatta Road","Camberwell","VIC 3124"
"Melbourne Christian Disciples Church","http://ecci.org.au/","-37.8204746","145.1250821","15 Ellingworth Parade","Box Hill","VIC 3128"
"Chinese Immanuel Church of Melbourne",NA,"-37.8507079","145.1620094","37 Ballantyne Street","Burwood East","VIC 3151"
"Evangelical Chinese Church",NA,"-37.8346280","145.1520466","19/23 Holland Rd","Blackburn South","VIC 3128"
"Evangelical Chinese Church, Melbourne",NA,"-37.8001251","145.1182879","642-644 Elgar Road","Box Hill North","VIC 3129"
"Melbourne Chinese Baptist Church","http://www.mcbc.org.au/chn/newcomers.html","-37.8073043","145.0369784","75A Cotham Road","Kew","VIC 3101"
"Melbourne Chinese Grace Church","http://mccces.wordpress.com/","-37.8513922","145.0768823","29 Summerhill Road","Glen Iris","VIC 3146"
"Melbourne Chinese Bible Church",NA,"-37.7976180","144.8779690","543-545 Barkley street","West Footscray","VIC 3012"
"Overseas Chinese Christian Church of Melbourne","http://overseaschinesechristianchurch.com.au/index.html","-37.8569099","145.1818701","474 Burwood Highway","Vermont South","VIC 3133"
"Clayton Chinese Christian Church","https://cccc.church/","-37.9081453","145.1152547","4/8 Surrey Cres","Oakleigh East","VIC 3166"
"Chinese Grace Church",NA,"-37.8527708","145.2159092","21 Koomba Road","Wantirna","VIC 3152"
"Gospel Hall Melbourne","http://www.ucghm.org.au","-37.8119793","144.9667658","196 Lt. Bourke Street","Melbourne","VIC 3000"
"Templestowe Baptist Church",NA,"-37.7667816","145.1689525","107 Andersons Creek Road","Doncaster East","VIC 3109"
"Chinese Church of Christ",NA,"-37.8818860","145.1050200","147 Waverley Road","Chadstone","VIC 3148"
"Chinese Lutheran Church of Victoria","http://www.chineselutheranvic.org.au/index.html","-37.7817330","145.1442010","53 VICtoria Street","Doncaster","VIC 3108"
